Item,Ingredient,Quantity/Portion,Unit,found
Eggs Benedict,Eggs,2.73,pcs,Eggs Benedict
Eggs Benedict,Butter,9.09,g,Eggs Benedict
Eggs Benedict,Vinegar,0.02,lit,Eggs Benedict
Eggs Benedict,Bread,0.18,loaf,Eggs Benedict
Eggs Benedict,Black Pepper Powder,0,x,Eggs Benedict
Pancakes,Pancake Flour,50,g,Pancakes
Pancakes,Milk,16.67,lit,Pancakes
Pancakes,Eggs,0.4,pcs,Pancakes
Pancakes,Whipped Cream,16.67,g,Pancakes
Pancakes,Pancake Syrup,0.02,lit,Pancakes
Scrambled Egg,Bread ,0.13,loaf,Scrambled Egg
Scrambled Egg,Eggs,2,pc,Scrambled Egg
Scrambled Egg,Butter,10,g,Scrambled Egg
Scrambled Egg,Cream,0.01,lt,Scrambled Egg
Scrambled Egg,Green Chilly,1.67,g,Scrambled Egg
Scrambled Egg,Onion,16.67,g,Scrambled Egg
Veggie Cheese Omelette,Onion,23.33,g,Veggie Cheese Omelette
Veggie Cheese Omelette,Tomato,13.33,g,Veggie Cheese Omelette
Veggie Cheese Omelette,Green Chilly,3.33,g,Veggie Cheese Omelette
Veggie Cheese Omelette,Cheddar Cheese,6.67,g,Veggie Cheese Omelette
Veggie Cheese Omelette,Eggs,2,pcs,Veggie Cheese Omelette
Veggie Cheese Omelette,Bread,0.13,loaf,Veggie Cheese Omelette
Veggie Cheese Omelette,Oil,0.01,lit,Veggie Cheese Omelette
Veggie Cheese Omelette,Salt,0,x,Veggie Cheese Omelette
Kathi Roll,Onion,33.33,g,Kathi Roll
Kathi Roll,Tomato,23.33,g,Kathi Roll
Kathi Roll,Capsicum,23.33,g,Kathi Roll
Kathi Roll,Potato,66.67,g,Kathi Roll
Kathi Roll,Garlic,1.67,g,Kathi Roll
Kathi Roll,Paneer,16.67,g,Kathi Roll
Kathi Roll,Processed Cheese,0.33,cubes,Kathi Roll
Kathi Roll,Mayo,23.33,g,Kathi Roll
Kathi Roll,Wheat Flour,66.67,g,Kathi Roll
Kathi Roll,White Flour,8.33,g,Kathi Roll
Kathi Roll,Butter,6.67,g,Kathi Roll
Kathi Roll,Pickle,1.67,g,Kathi Roll
Vegan Pancakes,Pancake Flour,50,g,Vegan Pancakes
Vegan Pancakes,Milk,16.67,lit,Vegan Pancakes
Vegan Pancakes,banana,0.2,pcs,Vegan Pancakes
Vegan Pancakes,Whipped Cream,16.67,g,Vegan Pancakes
Vegan Pancakes,Pancake Syrup,0.02,lit,Vegan Pancakes
Green Peas Kabab,Green Peas,116.67,g,Green Peas Kabab
Green Peas Kabab,Onion,16.67,g,Green Peas Kabab
Green Peas Kabab,Green Chilly,3.33,g,Green Peas Kabab
Green Peas Kabab,Garlic,3.33,g,Green Peas Kabab
Green Peas Kabab,Ginger,1.67,g,Green Peas Kabab
Green Peas Kabab,Corriander,1.67,g,Green Peas Kabab
Green Peas Kabab,Rice Flour,3.33,g,Green Peas Kabab
Green Peas Kabab,White Flour,5,g,Green Peas Kabab
Green Peas Kabab,Oil,0,x,Green Peas Kabab
Green Peas Kabab,Bread Crumb,0.02,pkt,Green Peas Kabab
Green Peas Kabab,Bread ,0.13,loaf,Green Peas Kabab
Green Peas Kabab,Salt,0,x,Green Peas Kabab
Green Peas Kabab,Garam Masala,0,x,Green Peas Kabab
Gourmet Club Sandwich,Cucumber,33.33,g,Gourmet Club Sandwich
Gourmet Club Sandwich,Tomato,33.33,g,Gourmet Club Sandwich
Gourmet Club Sandwich,Beetroot,33.33,g,Gourmet Club Sandwich
Gourmet Club Sandwich,Potato,33.33,g,Gourmet Club Sandwich
Gourmet Club Sandwich,Bread,0.17,loaf,Gourmet Club Sandwich
Gourmet Club Sandwich,Mayo,16.67,g,Gourmet Club Sandwich
Gourmet Club Sandwich,Butter,10,g,Gourmet Club Sandwich
Green Chutney,Corriander,0,x,#N/A
Green Chutney,Mint,0,x,#N/A
Green Chutney,Green Chilly,0,x,#N/A
Green Chutney,Yoghurt,3.33,g,#N/A
Veg Stuffed Idli,Red Bell Pepper,3.33,g,Veg Stuffed Idli
Veg Stuffed Idli,Yellow Bell Pepper,3.33,g,Veg Stuffed Idli
Veg Stuffed Idli,Capsicum,3.33,g,Veg Stuffed Idli
Veg Stuffed Idli,Idli Batter,100,g,Veg Stuffed Idli
Veg Stuffed Idli,Oil,0,x,Veg Stuffed Idli
Uttapam,Batter,83.33,g,Uttapam
Uttapam,Onion,23.33,g,Uttapam
Uttapam,Tomato,23.33,g,Uttapam
Uttapam,Oil,0.01,lit,Uttapam
Sambhar,Onions,8.33,g,#N/A
Sambhar,Pumpkin,6.67,g,#N/A
Sambhar,Tomato,8.33,g,#N/A
Sambhar,Brinjal,10,g,#N/A
Sambhar,Chilly Powder,0,x,#N/A
Sambhar,Sambhar Masala,0,x,#N/A
Sambhar,Salt,0,x,#N/A
Sambhar,Tamarind,0,x,#N/A
Sambhar,Toor Dal,8.33,g,#N/A
Coconut Chutney,Coconut,0.07,pcs,#N/A
Coconut Chutney,Garlic,1,g,#N/A
Coconut Chutney,Cumin Seeds,0,x,#N/A
Coconut Chutney,Mustard Seeds,0,x,#N/A
Coconut Chutney,Green Chilly,0.33,g,#N/A
Coconut Chutney,Curry Leaves,0,x,#N/A
Coconut Chutney,Dalia,6.67,g,#N/A
Coconut Chutney,Urad Dal,1,g,#N/A
Coconut Chutney,Red Chilly,0.67,g,#N/A
Coconut Chutney,Salt,0,x,#N/A
Coconut Chutney,Oil,0,x,#N/A
Penne Arrabiata Pasta,Tomato,133.33,g,Penne Arrabiata Pasta
Penne Arrabiata Pasta,Carrots,10,g,Penne Arrabiata Pasta
Penne Arrabiata Pasta,Garlic,3.33,g,Penne Arrabiata Pasta
Penne Arrabiata Pasta,Onion,33.33,g,Penne Arrabiata Pasta
Penne Arrabiata Pasta,Penne Pasta,66.67,g,Penne Arrabiata Pasta
Penne Arrabiata Pasta,Oil,0,x,Penne Arrabiata Pasta
Penne Arrabiata Pasta,Salt,0,x,Penne Arrabiata Pasta
Penne Arrabiata Pasta,Black Pepper Powder,0,x,Penne Arrabiata Pasta
Penne Arrabiata Pasta,Basil Leaves,0.03,x,Penne Arrabiata Pasta
Penne Arrabiata Pasta,Red Chilly Flakes,0,x,Penne Arrabiata Pasta
Penne Arrabiata Pasta,Parmesan Cheese,4.33,g,Penne Arrabiata Pasta
Paratha Sabji,Potatoes,66.67,g,Paratha Sabji
Paratha Sabji,Cumin Seed,0,x,Paratha Sabji
Paratha Sabji,Onion ,33.33,g,Paratha Sabji
Paratha Sabji,Tomato,23.33,g,Paratha Sabji
Paratha Sabji,Corriander,0,x,Paratha Sabji
Paratha Sabji,Wheat Flour,83.33,g,Paratha Sabji
Paratha Sabji,White Flour,8.33,x,Paratha Sabji
Paratha Sabji,Garlic,1.67,g,Paratha Sabji
Paratha Sabji,Mustard Seed,0,x,Paratha Sabji
Paratha Sabji,Green Peas,16.67,g,Paratha Sabji
Chicken Patties,Chicken,83.33,g,Chicken Patties
Chicken Patties,Onion,6.67,g,Chicken Patties
Chicken Patties,Egg,0.33,Pcs,Chicken Patties
Chicken Patties,Bread ,0.13,Loaf,Chicken Patties
Chicken Patties,Bread Crumb,6.67,g,Chicken Patties
Chicken Patties,Tomato ketchup,1,Packet,Chicken Patties
Chicken Patties,Green Chilly,1.67,g,Chicken Patties
Chicken Patties,Salt,0,x,Chicken Patties
Chicken Stroganoff,Onion,33.33,x,Chicken Stroganoff
Chicken Stroganoff,Mushroom,16.67,x,Chicken Stroganoff
Chicken Stroganoff,Chicken,83.33,x,Chicken Stroganoff
Chicken Stroganoff,Capsicum,33.33,x,Chicken Stroganoff
Chicken Stroganoff,Oil,0,x,Chicken Stroganoff
Chicken Stroganoff,Red Paprika Powder,0,x,Chicken Stroganoff
Chicken Stroganoff,Chilly Flakes,0,x,Chicken Stroganoff
Chicken Stroganoff,Fresh Cream,0.1,x,Chicken Stroganoff
Chicken Stroganoff,Bread,0,x,Chicken Stroganoff
Rockford Chicken Sandwich,Chicken ,83.33,g,Rockford Chicken Sandwich
Rockford Chicken Sandwich,Egg,1,pcs,Rockford Chicken Sandwich
Rockford Chicken Sandwich,Bread,0.17,loaf,Rockford Chicken Sandwich
Rockford Chicken Sandwich,Mayo,33.33,g,Rockford Chicken Sandwich
Rockford Chicken Sandwich,Tomato,33.33,g,Rockford Chicken Sandwich
Butter Milk,Butter Milk,0.2,lit,Butter Milk
Butter Milk,Coriander,0.83,g,Butter Milk
Butter Milk,Mint,0.83,g,Butter Milk
Butter Milk,Green Chilly,0.33,g,Butter Milk
Butter Milk,Cumin Seeds,0,x,Butter Milk
Banana Melon Punch,Banana,0.5,pcs,Banana Melon Punch
Banana Melon Punch,Water Melon,8.33,g,Banana Melon Punch
Banana Melon Punch,Coconut Milk Powder,0.83,g,Banana Melon Punch
Banana Melon Punch,Milk,0.18,lit,Banana Melon Punch
Banana Melon Punch,Sugar,0,x,Banana Melon Punch
Banana Musk Melon Punch,Banana,0.5,pcs,Banana Musk Melon Punch
Banana Musk Melon Punch,Musk Melon,8.33,g,Banana Musk Melon Punch
Banana Musk Melon Punch,Coconut Milk Powder,0.83,g,Banana Musk Melon Punch
Banana Musk Melon Punch,Milk,0.18,lit,Banana Musk Melon Punch
Banana Musk Melon Punch,Sugar,0,x,Banana Musk Melon Punch
Oatmeal Smoothie,Oats,6.67,g,Oatmeal Smoothie
Oatmeal Smoothie,Dates,6.67,g,Oatmeal Smoothie
Oatmeal Smoothie,Milk,0.2,lt,Oatmeal Smoothie
Oatmeal Smoothie,Almond,1,pc,Oatmeal Smoothie
Oatmeal Smoothie,Sugar,0,x,Oatmeal Smoothie
Oatmeal Smoothie,Honey,8.33,g,Oatmeal Smoothie
Beetroot Juice,Beetroot,583.33,g,Beetroot Juice
Watermelon Gazpacho,Watermelon,500,g,Watermelon Gazpacho
Watermelon Gazpacho,Sugar,0,x,Watermelon Gazpacho
Watermelon Gazpacho,Mint,0,x,Watermelon Gazpacho
Watermelon Gazpacho,Lemon,0.17,Pcs,Watermelon Gazpacho
Chikoo Shake,Chikoo,50,g,Chikoo Shake
Chikoo Shake,Milk,0.18,Lit,Chikoo Shake
Chikoo Shake,Cream,0.01,Lit,Chikoo Shake
Chikoo Shake,Almond,0,x,Chikoo Shake
Black Forest Protein Shake,banana,0.33,pcs,Black Forest Protein Shake
Black Forest Protein Shake,sugar,0,x,Black Forest Protein Shake
Black Forest Protein Shake,cream,0.03,pkt,Black Forest Protein Shake
Black Forest Protein Shake,milk,0.18,lit,Black Forest Protein Shake
Black Forest Protein Shake,cocoa powder,0.5,g,Black Forest Protein Shake
Black Forest Protein Shake,chocolate syrup,5.83,g,Black Forest Protein Shake
Black Forest Protein Shake,almond,1,x,Black Forest Protein Shake
Lassi,Yogurt,142.86,g,Lassi
Lassi,Almond,2.14,x,Lassi
Lassi,Cardamom,0.71,g,Lassi
Lassi,Sugar,0,x,Lassi
Lassi,Rose water,0,x,Lassi
Carrot Juice,Carrots,500,g,Carrot Juice
Lemonade,Lemon,0.5,pcs,Lemonade
Lemonade,Sugar,0,x,Lemonade
Guava Shake,Guava,50,g,Guava Shake
Guava Shake,Milk,0.18,lit,Guava Shake
Guava Shake,Sugar,0,x,Guava Shake
Mixed Sprout Salad,Chana,25,g,Mixed Sprout Salad
Mixed Sprout Salad,Matt,41.67,g,Mixed Sprout Salad
Mixed Sprout Salad,Tomato,16.67,g,Mixed Sprout Salad
Mixed Sprout Salad,Onion,16.67,g,Mixed Sprout Salad
Mixed Sprout Salad,Green Chily,0,x,Mixed Sprout Salad
Mixed Sprout Salad,Chaat Masala,0,x,Mixed Sprout Salad
Mixed Sprout Salad,Coriander,0,x,Mixed Sprout Salad
Mixed Sprout Salad,Lemon,0.08,pcs,Mixed Sprout Salad
Mixed Sprout Salad,Salt,0,x,Mixed Sprout Salad
Mixed Sprout Salad,Tomato Ketuchup,0,x,Mixed Sprout Salad
Grilled Tomato,Tomato,100,g,Grilled Tomato
Grilled Tomato,Basil Leaves,0.02,bunch,Grilled Tomato
Grilled Tomato,Black Pepper Powder,0,x,Grilled Tomato
Grilled Tomato,Salt,0,x,Grilled Tomato
Veg Crudites,Tomato,50,g,Veg Crudites
Veg Crudites,Cucumber,50,g,Veg Crudites
Veg Crudites,Carrot,50,g,Veg Crudites
Thousand Island Sauce,Mayo,5,g,#N/A
Thousand Island Sauce,Tomato Ketchup,3.33,g,#N/A
Thousand Island Sauce,Parsley,0.02,Bunch,#N/A
Potato Capsicum Salad,Potato ,41.67,g,Potato Capsicum Salad
Potato Capsicum Salad,Capsicum,25,g,Potato Capsicum Salad
Potato Capsicum Salad,Lemon,0,x,Potato Capsicum Salad
Coleslaw Salad,Cabbage,33.33,g,Coleslaw Salad
Coleslaw Salad,Carrots,50,g,Coleslaw Salad
Coleslaw Salad,Mayo,16.67,g,Coleslaw Salad
Coleslaw Salad,Honey,1.67,g,Coleslaw Salad
Coleslaw Salad,Salt,0,x,Coleslaw Salad
Coleslaw Salad,White Pepper Powder,0,x,Coleslaw Salad
Chef's Style Salad,Red Bell Pepper,8.33,g,Chef's Style Salad
Chef's Style Salad,Yellow Bell Pepper,8.33,g,Chef's Style Salad
Chef's Style Salad,Capsicum,8.33,g,Chef's Style Salad
Chef's Style Salad,Tomato,16.67,g,Chef's Style Salad
Chef's Style Salad,Cucumber,25,g,Chef's Style Salad
Chef's Style Salad,Roman Lettuce,8.33,g,Chef's Style Salad
Chef's Style Salad,Lemon ,0.17,pcs,Chef's Style Salad
Sweet Corn Salad,Sweet Corn,58.33,g,Sweet Corn Salad
Sweet Corn Salad,Tomato,16.67,g,Sweet Corn Salad
Sweet Corn Salad,Green Capsicum,8.33,g,Sweet Corn Salad
Sweet Corn Salad,Coriander,1.67,g,Sweet Corn Salad
Sweet Corn Salad,Lemon,0.17,pcs,Sweet Corn Salad
Sweet Corn Salad,Oil,0,x,Sweet Corn Salad
Sweet Corn Salad,salt,0,x,Sweet Corn Salad
Fruit Chaat Salad,Apple,25,g,Fruit Chaat Salad
Fruit Chaat Salad,Musk Melon,25,g,Fruit Chaat Salad
Fruit Chaat Salad,Pomegranate,11.67,g,Fruit Chaat Salad
Fruit Chaat Salad,Pineapple,33.33,g,Fruit Chaat Salad
Fruit Chaat Salad,Banana,0.33,Pcs,Fruit Chaat Salad
Fruit Chaat Salad,Grapes/Papaya,25,g,Fruit Chaat Salad
Fruit Cream Salad,Apple,66.67,g,Fruit Cream Salad
Fruit Cream Salad,Musk Melon,33.33,g,Fruit Cream Salad
Fruit Cream Salad,Pomegranate,33.33,g,Fruit Cream Salad
Fruit Cream Salad,Pineapple,66.67,g,Fruit Cream Salad
Fruit Cream Salad,Banana,0.67,Pcs,Fruit Cream Salad
Fruit Cream Salad,Grapes,50,g,Fruit Cream Salad
Fruit Cream Salad,Whipped Cream,33.33,g,Fruit Cream Salad
Fruit Cream Salad,Nashpati,66.67,g,Fruit Cream Salad